11/11,8:31:21,370,0.307,10.021,3.076
11/11,8:31:22,632,0.263,10.065,2.648
11/11,8:31:22,632,0.241,10.109,2.438
11/11,8:31:22,632,0.285,10.065,2.869
11/11,8:31:22,368,0.263,10.087,2.654
11/11,8:31:22,948,0.263,10.087,2.654
11/11,8:31:22,632,0.263,10.087,2.654
11/11,8:31:22,632,0.219,10.131,2.221
11/11,8:31:22,368,0.263,10.087,2.654
11/11,8:31:23,368,0.285,10.065,2.869
11/11,8:31:23,632,0.285,10.065,2.869
11/11,8:31:23,632,0.285,10.065,2.869
11/11,8:31:23,632,0.263,10.065,2.648
11/11,8:31:23,632,0.285,10.065,2.869
11/11,8:31:24,368,0.285,10.065,2.869
11/11,8:31:24,632,0.285,10.065,2.869
11/11,8:31:24,632,0.241,10.109,2.438
11/11,8:31:24,632,0.263,10.065,2.648
11/11,8:31:24,368,0.263,10.087,2.654
11/11,8:31:25,632,0.263,10.087,2.654
11/11,8:31:25,632,0.263,10.087,2.654
11/11,8:31:25,632,0.263,10.087,2.654
11/11,8:31:25,632,0.263,10.087,2.654
11/11,8:31:25,368,0.285,10.065,2.869
11/11,8:31:26,632,0.285,10.065,2.869
11/11,8:31:26,632,0.241,10.109,2.438
11/11,8:31:26,632,0.263,10.065,2.648
11/11,8:31:26,370,0.285,10.065,2.869
11/11,8:31:26,632,0.285,10.065,2.869
11/11,8:31:27,948,0.285,10.065,2.869
11/11,8:31:27,632,0.241,10.109,2.438
11/11,8:31:27,368,0.263,10.087,2.654
11/11,8:31:27,368,0.263,10.087,2.654
11/11,8:31:27,632,0.263,10.087,2.654
11/11,8:31:28,632,0.219,10.131,2.221
11/11,8:31:28,632,0.263,10.087,2.654
11/11,8:31:28,370,0.263,10.087,2.654
11/11,8:31:28,632,0.285,10.065,2.869
11/11,8:31:28,632,0.285,10.065,2.869
11/11,8:31:29,632,0.241,10.109,2.438
11/11,8:31:29,632,0.263,10.065,2.648
11/11,8:31:29,367,0.285,10.065,2.869
11/11,8:31:29,632,0.285,10.065,2.869
11/11,8:31:29,632,0.285,10.065,2.869
11/11,8:31:30,632,0.285,10.065,2.869
11/11,8:31:30,632,0.263,10.087,2.654
11/11,8:31:30,368,0.263,10.087,2.654
